gene_id,gene_name,n_cells_by_counts,mean_counts,log1p_mean_counts,pct_dropout_by_counts,total_counts,log1p_total_counts,n_cells
PA14_07710,PA14_07710,100,0.0012096546266463174,0.0012089235839684825,99.886948165734,107.0,4.68213122712422,76
PA14_07730,PA14_07730,179,0.002193205584760613,0.0021908040201676633,99.79763721666384,194.0,5.272999558563747,152
PA14_07740,PA14_07740,308,0.003595048329659149,0.00358860158968733,99.65180035046069,318.0,5.765191102784844,268
PA14_07760,PA14_07760,160,0.0018653552653891809,0.0018636176507662856,99.81911706517438,165.0,5.111987788356544,117
PA14_07770,PA14_07770,1339,0.018156124583121363,0.01799327039984141,98.48623593917812,1606.0,7.382124365737512,1114
PA14_07780,PA14_07780,89,0.0010739924255271042,0.0010734161082653986,99.89938386750326,95.0,4.564348191467836,74
PA14_07790,PA14_07790,57,0.0006670058221694647,0.0006667834726528484,99.93556045446837,59.0,4.0943445622221,53
PA14_07800,PA14_07800,392,0.00463512520490645,0.004624416091377915,99.55683680967724,410.0,6.018593214496234,331
PA14_07820,PA14_07820,695,0.008309309818551805,0.008274977557538856,99.21428975185123,735.0,6.601230118728877,592
PA14_07860,PA14_07860,268,0.0031428409925951047,0.0031379125912639684,99.69702108416709,278.0,5.631211781821365,234
PA14_07910,PA14_07910,30,0.0003391555027980329,0.0003390980025711387,99.9660844497202,30.0,3.4339872044851463,26
PA14_07930,PA14_07930,71,0.000813973206715279,0.0008136421101816101,99.91973319767114,72.0,4.290459441148391,45
PA14_07940,PA14_07940,4,4.5220733706404386e-05,4.521971127984905e-05,99.99547792662936,4.0,1.6094379124341003,4
PA14_08010,PA14_08010,3,3.391555027980329e-05,3.3914975160531515e-05,99.99660844497203,3.0,1.3862943611198906,3
PA14_08030,PA14_08030,1014,0.011723475213385338,0.011655287690252574,98.85365440054265,1037.0,6.945051063725834,761
PA14_08040,PA14_08040,3161,0.03619919733197671,0.03555940077170839,96.4264315188514,3202.0,8.071843149609158,2463
PA14_08050,PA14_08050,35,0.0003956814199310384,0.00039560315868166667,99.9604318580069,35.0,3.58351893845611,25
PA14_08120,PA14_08120,136,0.0017296930642699678,0.001728198867974196,99.84624950539822,153.0,5.0369526024136295,119
